buildupArea_sqft,bathrooms,bhk,flat_price,location1,age_of_property,furnishing,bedrooms,balcony,parking
1060,2,2 BHK Flat,1.15,Mira Road East,recent construction,Unfurnished,2,4,yes
1250,2,2 BHK Flat,3.68,Powai,recent construction,Semi Furnished,2,0,yes
2450,3,3 BHK Flat,4.5,Malad East,recent construction,Unfurnished,3,1,yes
1120,2,2 BHK Flat,1.4,Mira Road East,recent construction,Semi Furnished,2,2,yes
920,2,2 BHK Flat,2.6,Chembur,recent construction,Semi Furnished,2,1,yes
2600,2,5 BHK Flat,6.25,Goregaon East,recent construction,Semi Furnished,5,0,yes
1650,2,3 BHK Flat,4.1,Andheri West,mid age property,Unfurnished,3,0,yes
1150,2,3 BHK Flat,2.75,Chembur,recent construction,Semi Furnished,3,0,yes
980,2,2 BHK Flat,2.2,Chembur,new construction,Unfurnished,2,0,yes
1596,2,3 BHK Flat,4.8,Sion,recent construction,Semi Furnished,3,2,yes
984,3,3 BHK Flat,2.98,Kandivali East,recent construction,Unfurnished,3,1,yes
2000,3,3 BHK Flat,7.5,Chembur,new construction,Unfurnished,3,2,yes
810,3,2 BHK Flat,1.35,Bhandup West,recent construction,Unfurnished,2,3,yes
600,2,1 BHK Flat,0.36,Vasai East,recent construction,Semi Furnished,1,3,yes
655,1,1 BHK Flat,1.18,Kanjurmarg East,recent construction,Unfurnished,1,0,yes
1050,2,2 BHK Flat,0.9,Mira Road East,modern property,Fully Furnished,2,2,yes
1800,3,3 BHK Flat,8.45,Byculla,new construction,Semi Furnished,3,1,yes
800,2,2 BHK Flat,1.65,Borivali West,new construction,Unfurnished,2,0,yes
650,2,2 BHK Flat,1.25,Kandivali West,new construction,Unfurnished,2,0,yes
980,2,2 BHK Flat,1.61,Malad West,new construction,Unfurnished,2,0,yes
1300,4,3 BHK Flat,2.4,Mulund West,modern property,Fully Furnished,3,0,yes
1000,3,3 BHK Flat,4,Khar West,modern property,Fully Furnished,3,2,yes
1400,1,3 BHK Flat,5.5,Wadala,recent construction,Unfurnished,2,0,yes
720,2,2 BHK Flat,1.68,Dahisar East,new construction,Fully Furnished,2,0,yes
685,2,2 BHK Flat,1.49,Kandivali East,new construction,Semi Furnished,2,0,yes
1300,3,3 BHK Flat,3.5,Malad East,new construction,Semi Furnished,3,3,yes
600,1,1 BHK Flat,1.7,Sion,recent construction,Unfurnished,1,1,yes
1550,4,3 BHK Flat,7.75,Santacruz West,mid age property,Fully Furnished,3,0,yes
1100,2,2 BHK Flat,2.85,Kandivali West,modern property,Semi Furnished,2,0,yes
811,2,2 BHK Flat,1.8,Kanjurmarg West,recent construction,Fully Furnished,2,0,yes
494,2,1 BHK Flat,0.61,Mira Road East,recent construction,Semi Furnished,1,0,yes
2100,4,4 BHK Flat,13.5,Santacruz West,modern property,Fully Furnished,4,3,yes
765,2,2 BHK Flat,1.55,Mulund West,new construction,Semi Furnished,2,0,yes
1300,3,3 BHK Flat,2.1,Malad West,modern property,Semi Furnished,3,0,yes
1350,3,3 BHK Flat,2.7,Kandivali West,new construction,Unfurnished,3,0,yes
930,2,2 BHK Flat,1.5,Wadala East,modern property,Fully Furnished,2,0,yes
700,2,1 BHK Flat,0.6,Mira Road East,new construction,Semi Furnished,1,3,yes
552,2,2 BHK Flat,0.75,Thane West,recent construction,Semi Furnished,2,1,yes
1100,2,2 BHK Flat,4.6,Lower Parel,recent construction,Semi Furnished,2,0,yes
1650,2,3 BHK Flat,6.45,Dadar East,new construction,Semi Furnished,3,0,yes
2022,3,3 BHK Flat,7.59,Lower Parel,recent construction,Semi Furnished,3,0,yes
2881,4,4 BHK Flat,14.5,Santacruz West,recent construction,Semi Furnished,4,0,yes
800,1,2 BHK Flat,2.1,Andheri East,modern property,Fully Furnished,2,0,yes
1350,2,3 BHK Flat,4.5,Chembur,new construction,Unfurnished,3,1,yes
410,1,1 BHK Flat,0.53,Malad West,recent construction,Unfurnished,1,0,yes
800,2,1 BHK Flat,1.4,Kandivali East,recent construction,Semi Furnished,1,0,yes
547,3,1 BHK Flat,0.31,Naigaon East,new construction,Semi Furnished,1,0,yes
1100,2,2 BHK Flat,2.15,Goregaon East,new construction,Fully Furnished,2,0,yes
1080,2,2 BHK Flat,3.05,Kandivali East,recent construction,Fully Furnished,2,1,yes
987,1,3 BHK Flat,4.5,Goregaon East,recent construction,Semi Furnished,2,0,yes
950,2,2 BHK Flat,2.05,Malad East,recent construction,Semi Furnished,2,1,yes
862,2,2 BHK Flat,3.95,Dadar West,mid age property,Fully Furnished,2,0,yes
1600,3,3 BHK Flat,9.15,Cumballa Hill,mid age property,Semi Furnished,3,0,yes
658,2,2 BHK Flat,1.58,Borivali West,new construction,Semi Furnished,2,0,yes
650,2,1 BHK Flat,0.94,Dahisar West,recent construction,Unfurnished,1,0,yes
970,2,2 BHK Flat,1.63,Bhandup West,modern property,Unfurnished,2,1,yes
2100,4,4 BHK Flat,7.5,Chembur,recent construction,Unfurnished,4,4,yes
550,3,1 BHK Flat,0.25,Naigaon East,recent construction,Unfurnished,1,0,yes
2340,3,3 BHK Flat,5.5,Wadala East,new construction,Semi Furnished,3,2,yes
615,2,1 BHK Flat,1,Kandivali East,new construction,Unfurnished,1,0,yes
1080,2,2 BHK Flat,2.15,Kandivali East,recent construction,Unfurnished,2,3,yes
1050,2,2 BHK Flat,1.78,Powai,recent construction,Unfurnished,2,0,yes
650,2,2 BHK Flat,1.5,Ghatkopar East,new construction,Fully Furnished,2,0,yes
1881,4,4 BHK Flat,8.7,Santacruz West,modern property,Fully Furnished,3,0,yes
1000,2,2 BHK Flat,4.77,Sion,recent construction,Semi Furnished,2,1,yes
1092,3,3 BHK Flat,6.6,Lower Parel,recent construction,Unfurnished,3,0,yes
850,1,1 BHK Flat,4,Bandra West,modern property,Unfurnished,1,1,yes
1750,2,3 BHK Flat,6.8,Prabhadevi,recent construction,Fully Furnished,3,1,yes
620,2,1 BHK Flat,1.9,Andheri West,mid age property,Semi Furnished,1,0,yes
695,2,1 BHK Flat,0.72,Mira Road East,new construction,Semi Furnished,1,2,yes
1200,3,3 BHK Flat,2.7,Goregaon West,new construction,Semi Furnished,3,0,yes
1127,3,3 BHK Flat,3.6,Mulund West,recent construction,Semi Furnished,3,1,yes
610,1,1 BHK Flat,0.55,Goregaon East,modern property,Fully Furnished,1,0,yes
750,1,1 BHK Flat,0.9,Mira Road East,recent construction,Semi Furnished,1,2,yes
559,2,1 BHK Flat,1.39,Dahisar West,recent construction,Unfurnished,1,0,yes
1150,2,3 BHK Flat,3.3,Sion,modern property,Semi Furnished,3,0,yes
850,1,2 BHK Flat,0.54,Naigaon East,new construction,Unfurnished,2,3,yes
1550,2,3 BHK Flat,4.51,Powai,recent construction,Semi Furnished,3,3,yes
410,2,1 BHK Flat,0.53,Kandivali West,recent construction,Unfurnished,1,0,yes
800,1,2 BHK Flat,3.85,Khar West,recent construction,Semi Furnished,2,0,yes
1106,3,2 BHK Flat,3.1,Goregaon East,recent construction,Semi Furnished,2,3,yes
1435,2,3 BHK Flat,2.65,Malad East,recent construction,Unfurnished,3,1,yes
1050,2,2 BHK Flat,3.9,Powai,recent construction,Semi Furnished,2,0,yes
950,2,2 BHK Flat,2.4,Andheri West,recent construction,Semi Furnished,2,3,yes
600,2,1 BHK Flat,1.25,Andheri East,new construction,Unfurnished,1,0,yes
1050,2,2 BHK Flat,3.75,Dadar East,recent construction,Semi Furnished,2,0,yes
645,2,1 BHK Flat,0.62,Bhayandar East,recent construction,Semi Furnished,1,3,yes
2300,1,4 BHK Flat,11,Dadar East,recent construction,Semi Furnished,4,0,yes
900,2,3 BHK Flat,2.4,Goregaon East,recent construction,Semi Furnished,3,0,yes
710,2,1 BHK Flat,0.64,Mira Road East,new construction,Unfurnished,1,3,yes
1213,2,3 BHK Flat,2.9,Andheri East,new construction,Unfurnished,3,0,yes
1795,2,3 BHK Flat,6.55,Powai,modern property,Semi Furnished,3,0,yes
590,2,1 BHK Flat,0.73,Mira Road East,new construction,Semi Furnished,1,3,yes
800,2,2 BHK Flat,2.45,Goregaon East,new construction,Fully Furnished,2,1,yes
655,2,1 BHK Flat,0.92,Borivali East,recent construction,Semi Furnished,1,0,yes
1550,3,3 BHK Flat,5,Vikhroli East,recent construction,Semi Furnished,3,0,yes
800,2,2 BHK Flat,1.5,Chembur,recent construction,Unfurnished,2,0,yes
810,1,2 BHK Flat,3.85,Santacruz West,modern property,Semi Furnished,2,0,yes
724,2,2 BHK Flat,1.7,Borivali West,new construction,Unfurnished,2,0,yes
650,2,1 BHK Flat,1.45,Santacruz East,recent construction,Semi Furnished,1,0,yes
1050,3,3 BHK Flat,0.95,Goregaon East,modern property,Unfurnished,3,0,yes
780,2,2 BHK Flat,2.2,Powai,recent construction,Unfurnished,2,0,yes
1800,3,3 BHK Flat,5.5,Lower Parel,recent construction,Fully Furnished,3,2,yes
800,2,2 BHK Flat,2,Kanjurmarg East,recent construction,Semi Furnished,2,0,yes
850,2,2 BHK Flat,1.75,Mulund East,recent construction,Semi Furnished,2,1,yes
1800,3,3 BHK Flat,7.25,Santacruz West,recent construction,Unfurnished,3,0,yes
750,1,2 BHK Flat,1.66,Ghatkopar East,new construction,Semi Furnished,2,0,yes
600,2,1 BHK Flat,0.95,Chembur,mid age property,Unfurnished,1,0,yes
850,1,2 BHK Flat,0.46,Nalasopara West,modern property,Unfurnished,2,1,yes
1660,2,3 BHK Flat,3.95,Govandi,recent construction,Fully Furnished,3,0,yes
981,2,2 BHK Flat,1.52,Mulund West,modern property,Semi Furnished,2,0,yes
1000,3,3 BHK Flat,2.75,Borivali West,recent construction,Unfurnished,3,0,no
2120,3,3 BHK Flat,4.34,Malad East,recent construction,Unfurnished,3,1,yes
1160,3,3 BHK Flat,2.35,Chembur,new construction,Semi Furnished,3,0,yes
1110,2,2 BHK Flat,2.15,Powai,modern property,Unfurnished,2,1,yes
525,2,1 BHK Flat,1.15,Kandivali West,recent construction,Unfurnished,1,0,yes
800,1,2 BHK Flat,2.12,Wadala,recent construction,Semi Furnished,2,0,yes
1040,2,2 BHK Flat,2.4,Kandivali West,recent construction,Semi Furnished,2,1,yes
650,2,1 BHK Flat,1.5,Powai,new construction,Semi Furnished,1,0,yes
489,2,2 BHK Flat,1.18,Kanjurmarg West,recent construction,Semi Furnished,2,0,yes
1550,2,3 BHK Flat,4.47,Powai,recent construction,Semi Furnished,3,3,yes
1100,2,3 BHK Flat,2.55,Wadala East,modern property,Unfurnished,3,0,yes
4925,3,5 BHK Flat,17.25,Powai,recent construction,Unfurnished,5,0,yes
1100,2,2 BHK Flat,2.2,Goregaon West,recent construction,Unfurnished,2,3,yes
750,3,2 BHK Flat,1.2,Mira Road East,recent construction,Unfurnished,2,0,yes
600,1,1 BHK Flat,0.34,Virar West,recent construction,Semi Furnished,1,0,yes
630,2,1 BHK Flat,0.29,Virar West,recent construction,Semi Furnished,1,2,yes
1235,3,3 BHK Flat,4.6,Vile Parle West,new construction,Unfurnished,3,0,yes
725,2,1 BHK Flat,0.67,Mira Road East,new construction,Unfurnished,1,0,yes
1774,3,4 BHK Flat,5.75,Vile Parle East,recent construction,Unfurnished,4,0,yes
1210,1,3 BHK Flat,2.85,Mulund West,recent construction,Semi Furnished,2,0,yes
850,2,2 BHK Flat,1.38,Goregaon West,modern property,Fully Furnished,2,0,yes
945,2,2 BHK Flat,2.25,Chembur,recent construction,Semi Furnished,2,0,yes
1492,3,3 BHK Flat,6,Santacruz West,recent construction,Semi Furnished,3,0,yes
1800,3,3 BHK Flat,3.8,Chembur,recent construction,Semi Furnished,3,0,yes
1350,3,3 BHK Flat,2.6,Borivali East,modern property,Unfurnished,3,0,yes
1100,3,3 BHK Flat,6.25,Dadar East,recent construction,Fully Furnished,3,0,yes
1050,3,3 BHK Flat,0.41,Boisar,recent construction,Fully Furnished,3,0,yes
2000,3,3 BHK Flat,7.25,Byculla,new construction,Semi Furnished,3,0,yes
620,1,1 BHK Flat,0.24,Boisar,recent construction,Unfurnished,1,2,yes
1800,3,3 BHK Flat,7.4,Lower Parel,recent construction,Semi Furnished,3,0,yes
1100,2,2 BHK Flat,2.05,others,new construction,Unfurnished,2,1,yes
1500,3,3 BHK Flat,4,Kandivali West,recent construction,Semi Furnished,3,0,yes
1660,3,3 BHK Flat,4.65,Sion,recent construction,Unfurnished,3,4,yes
850,2,2 BHK Flat,1.75,Kandivali West,modern property,Semi Furnished,2,0,yes
1210,3,3 BHK Flat,1.43,Malad West,recent construction,Unfurnished,3,3,yes
1750,3,3 BHK Flat,12,Malabar Hill,mid age property,Semi Furnished,3,0,yes
1025,1,2 BHK Flat,1.15,Mira Road East,recent construction,Semi Furnished,2,0,yes
1250,3,3 BHK Flat,3.14,Kanjurmarg West,recent construction,Semi Furnished,3,0,yes
912,2,2 BHK Flat,2.9,Vile Parle East,modern property,Fully Furnished,2,0,yes
775,1,2 BHK Flat,0.52,Naigaon East,recent construction,Semi Furnished,2,3,yes
2210,5,4 BHK Flat,6.2,Powai,recent construction,Unfurnished,4,3,yes
610,2,1 BHK Flat,0.3,Naigaon East,recent construction,Unfurnished,1,1,yes
3000,4,4 BHK Flat,10,Chembur,recent construction,Unfurnished,4,0,yes
1200,2,2 BHK Flat,1.8,Mulund West,recent construction,Fully Furnished,2,3,yes
2450,5,5 BHK Flat,6.25,Goregaon West,modern property,Fully Furnished,5,2,yes
1412,3,3 BHK Flat,4.05,Bandra East,new construction,Unfurnished,3,1,yes
925,2,2 BHK Flat,2,Kandivali East,mid age property,Unfurnished,2,0,yes
1500,4,4 BHK Flat,4.37,Chembur,new construction,Unfurnished,4,0,yes
650,1,1 BHK Flat,1.2,Powai,modern property,Semi Furnished,1,0,no
1850,3,3 BHK Flat,11.4,Lower Parel,recent construction,Fully Furnished,3,2,yes
3000,3,4 BHK Flat,8.45,Khar West,recent construction,Semi Furnished,4,0,yes
570,2,1 BHK Flat,2.5,Prabhadevi,modern property,Semi Furnished,1,0,yes
513,2,1 BHK Flat,1.3,Goregaon East,recent construction,Unfurnished,1,0,yes
1020,2,2 BHK Flat,0.98,Mira Road East,recent construction,Unfurnished,2,4,no
610,2,1 BHK Flat,0.33,Naigaon East,new construction,Unfurnished,1,2,yes
980,2,2 BHK Flat,1.2,Kandivali West,recent construction,Unfurnished,2,0,yes
1350,3,2 BHK Flat,3.6,Bhandup West,new construction,Semi Furnished,2,0,yes
390,2,1 BHK Flat,0.83,Goregaon West,recent construction,Unfurnished,1,0,yes
3200,5,4 BHK Flat,11,Worli,recent construction,Semi Furnished,4,5,yes
1350,3,3 BHK Flat,6.8,Dadar East,recent construction,Semi Furnished,3,0,yes
1015,2,2 BHK Flat,1.68,Kanjurmarg East,new construction,Semi Furnished,2,0,yes
765,2,1 BHK Flat,0.6,Mira Road East,recent construction,Semi Furnished,1,2,yes
1312,3,3 BHK Flat,3.85,Govandi,recent construction,Semi Furnished,3,0,yes
1900,2,3 BHK Flat,7.2,others,recent construction,Unfurnished,3,0,yes
563,2,1 BHK Flat,1.35,Mulund East,new construction,Unfurnished,1,0,yes
600,1,2 BHK Flat,2,Mahim,mid age property,Fully Furnished,2,0,yes
703,2,2 BHK Flat,1.55,Ghatkopar East,new construction,Semi Furnished,2,0,no
2400,4,3 BHK Flat,12.5,Santacruz West,recent construction,Semi Furnished,3,4,yes
1820,2,3 BHK Flat,7.3,Andheri East,recent construction,Semi Furnished,3,0,yes
370,2,1 BHK Flat,1.2,Wadala East,new construction,Unfurnished,1,0,no
850,2,2 BHK Flat,1.95,Dahisar East,recent construction,Semi Furnished,2,0,yes
875,1,2 BHK Flat,0.39,Nalasopara West,recent construction,Unfurnished,2,3,yes
1466,1,3 BHK Flat,7.11,Santacruz West,new construction,Semi Furnished,3,0,yes
590,2,1 BHK Flat,1,Malad West,recent construction,Semi Furnished,1,0,yes
700,2,1 BHK Flat,1.2,Kandivali East,new construction,Unfurnished,1,0,yes
580,1,1 BHK Flat,0.98,Borivali West,modern property,Semi Furnished,1,0,yes
695,2,1 BHK Flat,0.69,Mira Road East,new construction,Semi Furnished,1,3,yes
700,2,1 BHK Flat,0.58,Mira Road East,recent construction,Semi Furnished,1,2,yes
450,2,1 BHK Flat,0.83,Vikhroli East,new construction,Unfurnished,1,0,no
620,2,1 BHK Flat,1.3,Andheri East,new construction,Semi Furnished,1,0,yes
850,2,2 BHK Flat,1.25,Kandivali East,modern property,Semi Furnished,2,0,yes
1550,2,3 BHK Flat,2.65,Mulund West,new construction,Unfurnished,3,0,yes
1300,3,3 BHK Flat,3.4,Santacruz East,modern property,Fully Furnished,3,0,yes
1900,1,3 BHK Flat,7.25,Khar West,modern property,Fully Furnished,3,0,yes
1550,4,3 BHK Flat,2.7,Borivali West,new construction,Unfurnished,3,0,yes
530,2,1 BHK Flat,1.1,Mulund East,modern property,Semi Furnished,1,0,yes
665,2,1 BHK Flat,1.05,Mulund East,modern property,Semi Furnished,1,0,no
1250,2,2 BHK Flat,3,Andheri West,recent construction,Unfurnished,2,0,yes
1550,3,3 BHK Flat,4.96,Borivali East,new construction,Unfurnished,3,0,yes
975,2,2 BHK Flat,1.85,Bhandup West,recent construction,Fully Furnished,2,3,yes
780,2,2 BHK Flat,2.1,Powai,recent construction,Unfurnished,2,0,yes
1125,2,2 BHK Flat,3.65,Parel,modern property,Semi Furnished,2,0,yes
550,2,1 BHK Flat,1.18,Malad East,new construction,Fully Furnished,1,0,yes
1061,2,3 BHK Flat,3.2,Mulund West,new construction,Unfurnished,3,1,yes
600,2,1 BHK Flat,0.85,Malad West,recent construction,Unfurnished,1,1,no
600,2,1 BHK Flat,0.75,Mira Road East,recent construction,Semi Furnished,1,1,yes
1780,3,3 BHK Flat,5.25,Andheri West,modern property,Semi Furnished,3,1,yes
750,2,2 BHK Flat,1.49,Borivali West,recent construction,Unfurnished,2,0,yes
1350,3,3 BHK Flat,5,Borivali East,recent construction,Unfurnished,3,1,yes
1480,3,3 BHK Flat,3.35,Govandi,recent construction,Semi Furnished,3,1,yes
1050,3,2 BHK Flat,0.85,Vasai West,recent construction,Semi Furnished,2,0,yes
864,1,2 BHK Flat,2.35,Ghatkopar East,new construction,Semi Furnished,2,0,yes
900,3,3 BHK Flat,2.95,Borivali West,recent construction,Semi Furnished,3,0,yes
510,1,1 BHK Flat,0.95,Mulund West,mid age property,Semi Furnished,1,0,yes
450,2,1 BHK Flat,0.53,Malad West,recent construction,Unfurnished,1,0,yes
650,2,2 BHK Flat,1.25,Mira Road East,modern property,Unfurnished,2,0,yes
2750,4,4 BHK Flat,9.75,Powai,modern property,Semi Furnished,4,2,yes
1550,3,3 BHK Flat,3.4,Andheri West,new construction,Unfurnished,3,1,yes
850,2,2 BHK Flat,2.62,Wadala,recent construction,Semi Furnished,2,0,yes
750,1,2 BHK Flat,1.7,Kandivali West,recent construction,Unfurnished,1,0,yes
2731,4,4 BHK Flat,16.5,Santacruz West,recent construction,Semi Furnished,4,0,yes
800,2,2 BHK Flat,1.6,Bhandup West,new construction,Unfurnished,2,0,yes
988,3,3 BHK Flat,2.25,Malad West,recent construction,Fully Furnished,3,0,yes
1250,3,3 BHK Flat,3.15,Andheri West,recent construction,Semi Furnished,3,0,yes
1350,3,3 BHK Flat,3.5,Mulund West,new construction,Unfurnished,3,1,yes
2000,3,4 BHK Flat,7.25,Santacruz West,modern property,Fully Furnished,4,1,yes
2420,5,4 BHK Flat,5.7,Wadala,recent construction,Semi Furnished,4,0,yes
650,2,1 BHK Flat,0.42,Virar West,new construction,Unfurnished,1,1,no
1400,3,3 BHK Flat,1.11,Goregaon East,recent construction,Fully Furnished,3,1,yes
915,2,2 BHK Flat,1.45,Mira Road East,new construction,Semi Furnished,2,3,yes
1213,3,3 BHK Flat,3.4,Chembur,new construction,Unfurnished,3,0,yes
700,2,2 BHK Flat,2.3,Vile Parle West,modern property,Fully Furnished,2,0,yes
950,2,2 BHK Flat,2.4,Jogeshwari West,modern property,Semi Furnished,2,0,yes
600,1,1 BHK Flat,0.3,Nalasopara West,recent construction,Semi Furnished,1,2,yes
2300,3,4 BHK Flat,6.5,Agripada,recent construction,Semi Furnished,4,0,yes
1403,3,3 BHK Flat,4.9,Mahalakshmi,new construction,Unfurnished,3,1,yes
1665,3,3 BHK Flat,1.99,Mira Road East,recent construction,Semi Furnished,3,2,yes
700,2,2 BHK Flat,1.85,Chembur,recent construction,Unfurnished,2,0,yes
3000,4,4 BHK Flat,8,Goregaon West,modern property,Semi Furnished,4,3,yes
1450,3,3 BHK Flat,5.49,Andheri West,new construction,Unfurnished,3,0,yes
550,2,1 BHK Flat,1.3,Kandivali West,recent construction,Semi Furnished,1,1,no
950,2,2 BHK Flat,3.5,Powai,recent construction,Semi Furnished,2,1,yes
1800,3,3 BHK Flat,6,Byculla,recent construction,Semi Furnished,3,1,yes
1050,3,3 BHK Flat,3.7,Vile Parle East,recent construction,Semi Furnished,3,1,yes
940,1,2 BHK Flat,0.42,Nalasopara West,recent construction,Semi Furnished,2,2,yes
500,2,1 BHK Flat,1.25,Kandivali East,new construction,Semi Furnished,1,0,yes
600,2,1 BHK Flat,1.15,Kandivali West,recent construction,Semi Furnished,1,0,no
1380,2,3 BHK Flat,3.7,Chembur,new construction,Semi Furnished,3,0,yes
580,2,1 BHK Flat,2.5,Matunga East,new construction,Semi Furnished,1,1,yes
660,2,1 BHK Flat,2.1,Parel,modern property,Semi Furnished,1,2,yes
850,2,2 BHK Flat,2.48,Goregaon East,recent construction,Unfurnished,2,0,yes
1330,3,3 BHK Flat,2.6,Kandivali East,modern property,Unfurnished,3,0,yes
980,2,2 BHK Flat,1.8,Borivali East,modern property,Fully Furnished,2,0,yes
1100,1,3 BHK Flat,6,Santacruz West,modern property,Semi Furnished,3,0,yes
1250,2,2 BHK Flat,2.2,Kandivali East,new construction,Unfurnished,2,0,yes
895,2,2 BHK Flat,2.4,Kanjurmarg East,new construction,Unfurnished,2,0,yes
595,2,1 BHK Flat,0.29,Nalasopara West,recent construction,Semi Furnished,1,1,yes
2800,5,5 BHK Flat,6.75,Goregaon East,recent construction,Fully Furnished,5,0,yes
940,2,2 BHK Flat,2.1,Malad West,modern property,Semi Furnished,2,0,yes
535,3,1 BHK Flat,0.31,Naigaon East,new construction,Unfurnished,1,0,yes
1600,3,3 BHK Flat,6.25,Malad West,recent construction,Unfurnished,3,2,yes
550,1,1 BHK Flat,1.09,Mulund West,modern property,Unfurnished,1,0,yes
1400,2,3 BHK Flat,3.2,Powai,recent construction,Semi Furnished,3,1,yes
835,1,2 BHK Flat,0.42,Naigaon East,recent construction,Unfurnished,2,3,yes
525,1,1 BHK Flat,1.32,Mahalakshmi,recent construction,Semi Furnished,1,0,no
825,2,2 BHK Flat,2.3,Andheri West,recent construction,Unfurnished,2,0,yes
700,2,2 BHK Flat,0.56,Thane West,recent construction,Semi Furnished,2,2,yes
1351,3,3 BHK Flat,4.45,Mulund West,new construction,Unfurnished,3,0,yes
1513,3,3 BHK Flat,3.9,Powai,recent construction,Unfurnished,3,1,yes
469,2,1 BHK Flat,0.85,Mira Road East,new construction,Unfurnished,1,0,yes
880,1,2 BHK Flat,0.6,Nalasopara West,recent construction,Semi Furnished,2,0,yes
1250,3,3 BHK Flat,2.55,Powai,mid age property,Semi Furnished,3,1,yes
850,2,2 BHK Flat,1.93,Powai,recent construction,Unfurnished,2,2,yes
550,2,1 BHK Flat,1.15,Mulund West,new construction,Semi Furnished,1,0,yes
720,2,1 BHK Flat,1.16,Bhandup East,recent construction,Semi Furnished,1,0,yes
1500,3,4 BHK Flat,4,Andheri West,recent construction,Semi Furnished,4,0,yes
1890,3,3 BHK Flat,9,Powai,recent construction,Semi Furnished,3,1,yes
421,2,1 BHK Flat,0.55,Kandivali West,recent construction,Unfurnished,1,0,no
500,2,1 BHK Flat,1.38,Jogeshwari East,new construction,Fully Furnished,1,0,yes
885,2,2 BHK Flat,1.95,Kandivali East,new construction,Semi Furnished,2,0,yes
1200,2,3 BHK Flat,4.75,Bandra West,recent construction,Unfurnished,2,0,yes
1491,2,2 BHK Flat,3.1,Wadala East,recent construction,Semi Furnished,2,0,yes
1395,3,3 BHK Flat,1.75,Mira Road East,recent construction,Semi Furnished,3,2,yes
865,3,3 BHK Flat,2.85,Chembur,recent construction,Semi Furnished,3,0,yes
400,1,1 BHK Flat,0.7,Kandivali East,recent construction,Unfurnished,1,0,yes
600,1,1 BHK Flat,0.76,Bhayandar West,modern property,Semi Furnished,1,0,yes
2290,4,4 BHK Flat,17.5,Worli,recent construction,Semi Furnished,4,1,yes
1170,2,2 BHK Flat,2.3,Malad West,recent construction,Semi Furnished,2,1,yes
1300,2,3 BHK Flat,2.49,Chembur,recent construction,Fully Furnished,3,0,yes
1050,2,2 BHK Flat,2.65,Powai,recent construction,Semi Furnished,2,0,yes
600,2,2 BHK Flat,1.2,Bhandup West,modern property,Semi Furnished,2,0,yes
616,2,2 BHK Flat,1.11,Andheri East,new construction,Unfurnished,2,0,yes
700,2,2 BHK Flat,0.85,Mira Road East,recent construction,Semi Furnished,2,3,yes
1600,3,3 BHK Flat,2.7,Santacruz East,new construction,Fully Furnished,3,1,yes
885,2,2 BHK Flat,1.78,Powai,modern property,Unfurnished,2,1,no
1300,2,2 BHK Flat,3.15,Powai,new construction,Semi Furnished,2,1,yes
3000,3,4 BHK Flat,16.5,Andheri West,recent construction,Fully Furnished,4,0,yes
550,2,1 BHK Flat,0.62,Lower Parel,new construction,Unfurnished,1,0,no
1200,3,3 BHK Flat,4,Goregaon West,new construction,Unfurnished,3,2,yes
1450,3,3 BHK Flat,3.3,Borivali East,modern property,Semi Furnished,3,3,yes
1285,2,2 BHK Flat,2.45,Powai,recent construction,Semi Furnished,2,3,yes
1120,3,2 BHK Flat,1.95,Kandivali East,recent construction,Unfurnished,2,0,yes
1235,3,3 BHK Flat,3.1,Kanjurmarg East,recent construction,Semi Furnished,3,0,yes
610,2,1 BHK Flat,1.38,Goregaon East,new construction,Unfurnished,1,0,yes
530,1,1 BHK Flat,0.35,Virar West,recent construction,Semi Furnished,1,0,yes
645,2,1 BHK Flat,0.58,Mira Road East,recent construction,Unfurnished,1,3,yes
500,2,1 BHK Flat,0.84,Malad West,new construction,Unfurnished,1,0,yes
1440,1,3 BHK Flat,3.5,Goregaon West,recent construction,Semi Furnished,3,0,yes
1360,3,3 BHK Flat,2.14,Andheri East,recent construction,Unfurnished,3,1,yes
3024,4,4 BHK Flat,10.5,Powai,recent construction,Semi Furnished,4,1,yes
975,3,2 BHK Flat,0.68,Vasai West,recent construction,Unfurnished,2,0,yes
880,2,2 BHK Flat,2.1,Chembur,recent construction,Unfurnished,2,0,yes
865,2,2 BHK Flat,1.1,Mira Road East,recent construction,Semi Furnished,2,2,yes
880,1,2 BHK Flat,0.51,Nalasopara West,recent construction,Semi Furnished,2,3,yes
1105,2,2 BHK Flat,1.3,Mira Road East,recent construction,Fully Furnished,2,4,yes
920,2,2 BHK Flat,0.75,Goregaon East,modern property,Semi Furnished,2,0,no
900,2,2 BHK Flat,0.9,Bhayandar East,recent construction,Fully Furnished,2,3,yes
800,3,2 BHK Flat,1.55,Jogeshwari West,recent construction,Semi Furnished,2,2,no
896,2,2 BHK Flat,1.25,Mira Road East,new construction,Unfurnished,2,2,yes
945,2,2 BHK Flat,1.85,Dahisar West,modern property,Unfurnished,2,0,yes
981,2,1 BHK Flat,0.75,Mira Road East,recent construction,Unfurnished,1,3,yes
1100,3,3 BHK Flat,2.21,Malad West,modern property,Semi Furnished,3,1,yes
2319,5,4 BHK Flat,10,Lower Parel,new construction,Unfurnished,4,0,yes
762,2,1 BHK Flat,0.82,Mira Road East,new construction,Semi Furnished,1,0,yes
850,2,2 BHK Flat,1.4,Kandivali West,modern property,Unfurnished,2,0,no
